CG	n_tissue
cg24112628	1
cg20206129	1
cg12837057	1
cg19979896	5
cg13937758	10
cg09670189	1
cg26275799	3
cg25115993	2
cg11660826	1
cg20811804	3
cg15879949	1
cg25124999	6
cg20226154	1
cg06390363	4
cg27399125	4
cg26031255	2
cg09579623	4
cg16979070	1
cg02250071	1
cg26849637	4
cg02079034	1
cg14137279	1
cg07380095	1
cg07146578	1
cg25582978	4
cg26700102	1
cg10418114	1
cg11599612	8
cg05179986	13
cg19038690	1
cg06895218	8
cg01444058	1
cg18144247	3
cg09846917	1
cg15742468	11
cg03651715	4
cg19995197	1
cg03446012	4
cg18245460	1
cg25855249	1
cg21047322	149
cg14087768	1
cg24727188	4
cg10883421	1
cg14262678	1
cg09370884	1
cg17190403	7
cg03596678	1
cg17720707	2
cg00601836	2
cg07189962	8
cg10441070	1
cg21157690	2
cg26089753	1
cg21608605	1
cg23164938	4
cg01777019	1
cg11251858	1
cg20253551	2
cg15626350	1
cg03732055	3
cg09414638	57
cg25490334	1
cg11824582	5
cg03003217	1
cg09516930	5
cg15413940	35
cg25591106	1
cg01844274	56
cg21606405	39
cg16434547	2
cg23931421	1
cg19342109	2
cg15773137	1
cg20168283	1
cg04955791	8
cg13966752	20
cg11370748	24
cg22417733	1
cg20443028	1
cg07535879	1
cg21060340	1
cg18075454	1
cg17502989	2
cg02006257	2
cg17264670	1
cg05102015	34
cg16716750	1
cg22867315	9
cg23229352	33
cg02533058	3
cg22366819	1
cg00523067	5
cg15658985	2
cg26415516	1
cg03081675	1
cg22131726	43
cg10452060	35
cg09037341	6
cg00756845	13
cg12955459	5
cg10601168	1
cg20919556	1
cg12120238	1
cg12897370	1
cg22990960	6
cg00379266	1
cg27073311	4
cg03680753	10
cg04095226	3
cg11614093	4
cg17809380	2
cg09379340	6
cg26934881	1
cg07943832	1
cg10876863	4
cg27383562	12
cg10082398	4
cg16150979	1
cg17597176	6
cg05797854	1
cg22939394	3
cg02584161	2
cg21491967	1
cg18300008	3
cg26739230	1
cg07292773	1
cg12199954	49
cg01608493	49
cg07537819	1
cg06010163	2
cg16303923	3
cg00269725	1
cg09184423	1
cg04671145	1
cg19575244	1
cg20444341	1
cg12781778	3
cg12989020	1
cg06634471	3
cg19436567	3
cg07212702	5
cg10059410	1
cg06019273	2
cg21793517	48
cg02150218	1
cg05099063	1
ch.6.3068315F	1
cg04949193	1
cg26551092	1
cg04924555	1
cg10047612	2
cg11277814	1
cg00937817	1
cg14950141	1
cg22853813	6
cg14606827	1
cg00948114	1
cg22541858	12
cg24443054	3
cg02332782	1
cg26223987	1
cg08377279	4
cg06647446	2
cg25412641	2
cg00725778	21
cg12297590	1
cg14781890	2
cg14789351	1
cg17515844	1
cg24492119	1
ch.6.3091160R	2
cg05163325	2
cg18738548	1
cg10799846	2
cg03920445	3
cg12567635	2
cg00407393	2
cg06633162	2
cg03419232	1
cg26917746	1
cg23612142	1
cg22135063	1
cg14196756	1
cg24362790	1
cg14301191	12
cg14921485	16
ch.6.158597687F	2
cg24866320	4
cg16740157	1
cg07159114	3
cg27559842	4
cg06332484	5
cg23877497	3
cg17087698	3
cg09235125	1
cg11815984	1
cg02116537	2
cg02447229	4
cg00590036	9
cg21530915	5
cg13183694	10
cg13598865	1
cg05113734	1
cg02829601	2
cg17768957	8
cg00370106	9
cg20396436	3
cg03891442	1
cg15130433	1
cg22871253	1
cg04185037	1
cg20291674	2
cg22812275	1
cg11853553	1
cg26992213	1
cg03268595	13
cg11898431	1
cg03739955	7
cg21497977	3
cg02739853	22
cg03360920	1
cg21366535	1
cg18288168	1
cg13568659	9
cg23680682	15
cg05103623	1
cg16180082	2
cg17453961	2
cg05362160	4
cg14971597	6
cg17975258	63
cg19647474	38
cg01625222	1
cg06346099	2
cg18897905	22
cg17395354	1
cg04770781	1
cg20340146	2
cg05504194	1
cg24683514	1
cg06131755	1
cg18959411	1
cg09900253	2
cg24280851	6
cg18116600	3
cg24503272	2
cg26296969	1
cg07937901	7
cg04794901	1
cg07151830	2
cg00585742	1
cg19045345	4
cg20013942	3
cg24462934	26
cg20720208	1
cg21774926	1
cg10738016	2
cg00230368	1
cg09555124	1
cg15044181	5
cg02092589	16
cg00122683	1
cg27204616	2
cg27320666	3
cg17028067	6
cg00991875	1
cg18616418	1
cg19993219	1
cg24037383	1
cg00951879	4
cg11396485	1
cg25138713	3
cg03649130	8
cg27588356	38
cg04169380	2
cg11342941	1
cg17504399	1
cg09810169	1
cg06638810	1
cg02031769	1
cg23244761	1
cg26872907	1
cg15339075	2
cg08518715	4
cg20021336	19
cg14584255	1
cg18825119	1
cg21293589	8
cg10601230	1
cg06834689	1
cg06136160	1
cg25724842	4
cg25670061	16
cg13326844	4
cg21078963	1
cg04058685	2
cg25758863	4
cg20934191	1
cg26338202	2
cg08169901	1
cg00852768	4
cg05329960	17
cg26728382	9
cg00254888	1
cg14090920	17
cg01298882	1
cg21354781	1
cg10832788	3
cg20977198	2
cg24804782	11
cg10464773	1
cg19353294	7
cg10097906	61
cg12736037	1
cg23159844	1
cg08836375	1
cg11357369	1
cg23054456	3
cg09883659	1
cg21567971	18
cg05477517	1
cg14852603	6
cg02873204	3
cg01649219	10
cg21240332	1
cg15733007	6
cg13344961	1
cg23309836	1
ch.6.3276431R	1
cg22623236	2
cg11175473	3
cg09997714	15
cg06650206	1
cg20026524	1
cg21429087	3
cg04326854	1
cg24133115	1
cg26723355	3
cg20598720	1
cg13351249	1
cg09454230	1
cg07724407	1
cg27101095	2
cg09456829	1
cg24480453	1
cg00121876	1
cg10087227	1
cg22141696	1
cg16206344	2
cg02174765	1
cg21984374	20
cg08564636	1
cg02465374	1
cg08886973	1
cg05861708	11
cg12254291	8
cg14026561	7
cg10706100	2
cg00622837	1
cg03177042	2
cg16562959	2
cg21749424	1
cg20411843	1
cg17864046	1
cg08882341	2
cg21754837	3
cg16698521	1
cg25414597	1
cg01722493	2
cg02149708	1
cg08214847	1
cg03136493	1
cg25152411	1
cg22817211	90
cg07490689	2
cg01988136	3
cg18791779	9
cg24078451	3
cg03945700	3
cg05089968	1
cg13049997	19
cg06430632	7
cg10768316	4
cg11638880	1
cg01205391	2
cg13014103	1
cg23219808	1
cg07920236	3
cg07494610	1
cg17391474	2
cg23587717	1
cg22400291	2
cg00180909	3
cg26725047	2
cg17292669	1
cg21313980	1
cg20192387	1
cg08480566	1
cg23848614	2
cg09219547	1
cg04224624	1
cg17646418	2
cg20203357	1
cg17707095	1
cg06960413	4
cg22375927	3
cg18758298	2
cg14574127	1
cg27140389	1
cg23327221	1
cg10647833	1
cg08694723	2
cg24829707	1
cg03512256	1
cg05573767	5
cg27626620	5
cg23641108	1
cg27620077	17
cg18561247	6
cg20361909	2
cg01327552	1
cg20206437	1
cg12798992	1
ch.6.3333851R	1
cg21839211	1
cg10661263	13
cg21801176	1
cg13805183	1
cg16338365	1
cg25285053	1
cg08489432	1
cg11410473	1
cg25048100	1
cg22900115	12
cg26732808	1
cg23603057	6
cg11263074	2
cg21970438	1
cg22772386	1
cg20481416	1
cg14788688	3
cg11793977	13
cg21421172	1
cg13047067	1
cg03381047	2
cg19820543	2
cg25930662	1
cg08266223	23
cg04111078	1
cg01797450	1
cg25471802	1
cg05733780	1
cg23775883	4
cg00228390	1
cg23192346	2
cg04972046	3
cg00788354	2
cg22765829	52
cg27637948	1
cg10102131	1
cg00686132	3
cg14079656	12
cg06034664	5
cg24008238	1
cg16896890	1
cg22858008	1
cg01709045	1
cg12772455	3
cg16301975	6
cg06904616	1
cg15920621	1
cg24246628	1
cg15770012	1
cg11423891	1
cg25474864	1
cg06444195	1
cg17172308	1
cg05422022	1
cg24692358	5
cg14972139	4
cg14330460	3
cg17371170	7
cg10896609	1
cg16003687	2
cg22989894	1
cg05221738	1
cg03994717	1
cg03761513	3
cg12591689	1
cg01076861	39
cg13826290	2
cg23481169	1
cg17587456	2
cg24019399	1
cg06251420	2
cg04680393	4
cg01082907	1
cg24966702	1
cg02825171	1
cg11238048	1
cg15977685	1
cg19964273	3
cg02840092	1
cg07824470	1
cg03510477	2
cg27343976	1
cg27089352	1
cg25394782	2
cg08406698	2
cg20566286	1
cg20349432	1
cg25669593	2
cg02540477	2
cg09214254	1
cg01568319	1
cg07576632	8
cg03674660	4
cg25562522	1
cg00844120	1
cg19926852	1
cg10041417	2
cg19726964	1
cg26990023	1
cg08112248	1
cg22967008	1
cg22771904	1
cg07979566	1
cg00517612	2
cg10579668	23
cg25602966	1
cg02039058	1
cg11064929	11
cg21239179	2
cg05740106	2
cg17041723	2
cg09147024	2
cg05489836	3
cg11235712	2
cg20876525	2
cg09334776	2
cg16114975	2
cg09867546	2
cg25303023	8
cg09885851	1
cg23618477	20
cg23070380	1
cg00856336	11
cg25814149	5
cg01023872	1
cg06244947	3
cg15146467	1
cg11299476	2
cg01043710	4
cg05784148	3
cg26280713	1
cg03495053	1
cg03535284	1
cg21652958	1
cg14670303	1
cg18332213	17
cg19390059	1
cg08866665	2
cg20286347	2
cg16388071	1
cg19494574	3
cg23204096	9
cg08609578	1
cg22971600	5
cg14582523	7
cg27408398	1
cg26228812	3
cg20606759	1
cg21796935	1
cg17925026	20
cg04940962	3
cg20453222	1
cg25749318	1
cg10652467	3
cg22267176	1
cg13018793	3
cg26582706	1
cg20235471	1
cg20675539	3
cg08250108	1
cg22066065	1
cg08344534	1
cg24104608	1
cg14040634	7
cg12971523	29
cg08521178	2
cg25044186	4
cg21597487	1
cg04450052	1
cg25753473	5
cg06682039	4
cg18973743	1
cg05526015	1
cg19406113	1
cg00893488	2
cg15692172	5
cg19049734	8
cg23951305	1
cg02360002	1
cg00084338	5
cg11519760	1
cg14497851	1
cg20926049	1
cg03815571	1
cg10918171	1
cg26446009	2
cg02134248	1
cg27328245	1
cg18245365	1
cg11700173	1
cg03368930	1
cg26200580	1
cg15793577	1
cg03988518	4
cg17169043	1
cg26224077	1
cg20402183	12
cg09826652	2
cg08974500	2
cg13649242	1
cg26458557	37
cg12235877	2
cg13880565	1
cg04647176	1
cg15607358	1
cg11214164	1
cg23826980	1
cg10248279	1
cg11065385	1
cg00897250	4
cg15580052	3
cg26421593	2
cg16639540	10
cg14760797	1
cg12013258	85
cg08723793	2
cg22609908	2
cg20610545	2
cg12425673	1
cg05615230	2
cg24111466	2
cg02275004	4
cg20725662	15
cg15612927	2
cg02055889	3
cg05957285	1
cg24323328	3
cg15437457	1
cg13333954	7
cg08197201	1
cg12165841	2
cg27485368	1
cg26363039	1
cg02752529	4
cg12947447	1
cg13977323	1
cg22151768	1
cg23667127	4
cg23385838	1
cg10518873	2
cg10147974	1
cg18612255	2
cg05227549	1
cg13581015	2
cg13904228	1
cg08242069	1
cg19372731	1
cg19526779	4
cg16939112	2
cg12193943	1
cg05169846	1
cg18952026	1
cg06937491	1
cg24105081	3
cg21602614	3
cg19204189	3
cg25966649	1
cg09629631	6
cg06807030	4
cg18167759	43
cg24856673	20
cg09094964	5
cg12250581	5
cg14310533	7
cg01297349	11
cg22341533	2
cg26268125	3
cg16884841	1
cg09189752	1
cg02916459	1
cg19262991	1
cg05579652	4
cg07121340	1
cg27501686	3
cg17401938	3
cg11830694	4
cg10635895	1
cg14637685	1
cg26361533	1
cg15779785	3
cg19542445	1
cg26345619	1
cg23068476	1
cg09641955	1
cg06726740	3
cg24946911	1
cg20557710	18
cg24902435	1
cg14395444	1
cg12130607	38
cg06401966	1
cg02065249	1
cg02238069	6
cg18776056	1
cg23359048	1
cg07128330	1
cg00922748	9
cg02852959	6
cg11551902	2
cg13979873	1
cg24130284	41
cg27279674	1
cg14742305	7
cg12902426	2
cg06097803	1
cg18553305	6
cg06921666	7
cg02052242	1
cg07987843	2
cg23065927	2
cg00766289	1
cg12609052	1
cg02511363	1
cg22800295	1
cg19171792	1
cg06922599	1
cg17043230	1
cg12592276	1
cg10047041	2
cg12235553	1
cg05921271	19
cg15321979	2
cg25081875	1
cg06415710	1
cg21747072	1
cg16733267	1
cg02660870	2
cg15339164	2
cg24100610	1
cg20347090	1
cg06029846	2
cg11596580	3
cg02955343	3
cg21667836	3
cg24871691	1
cg21008969	5
cg17651212	1
cg26557925	1
cg20416222	1
cg10917293	45
cg03510349	2
cg05972871	1
cg27546118	1
cg00391030	117
cg08761447	1
cg11888572	2
cg17044306	31
cg21129006	16
cg26863534	3
cg22914987	3
cg04024800	17
cg22702857	5
cg05478497	1
cg09420907	9
cg06807966	4
cg05667158	1
cg19582614	1
cg08553284	1
cg23235334	1
cg15249639	2
cg17334686	7
cg14782437	2
cg22555262	1
cg26864834	1
cg13801381	1
cg07222059	1
cg08620636	1
cg15002721	1
cg24965248	1
cg23090372	9
cg10625575	5
cg10854292	1
cg03795874	4
cg08977032	1
cg01218945	1
cg03680150	1
cg22406012	1
cg13800769	2
cg26162582	1
cg18126060	2
cg11388325	1
cg12080391	3
cg10569606	1
cg04891086	1
cg15543616	1
cg26590537	1
cg12440751	4
cg23737927	3
cg16897114	2
cg26855219	1
cg13220569	3
cg01621390	2
cg10508193	12
cg24703336	28
cg14415456	1
cg11892946	1
cg02052895	4
cg00252282	1
cg17775989	10
ch.12.158852F	1
cg19696117	11
cg16594913	4
cg13205848	4
cg20663432	3
cg00830420	2
cg24484802	4
cg19660531	3
cg26828839	5
cg11703796	3
cg12666919	2
cg15866021	1
cg19878637	5
cg25027788	1
cg22867714	46
cg25083933	1
cg23019886	1
cg16798825	2
cg05215767	1
cg13320138	1
cg25268678	1
cg09043214	4
cg09483067	2
cg18372367	1
cg03196720	29
cg11026867	1
cg00773370	1
cg20366549	8
cg10452531	1
cg09307727	162
cg05900140	1
cg22129323	15
cg00953066	1
cg09897131	3
cg04880762	1
cg13847998	3
cg27210269	1
cg23877831	1
cg16399745	1
cg17229929	3
cg12209075	2
cg17096807	2
cg00506612	1
cg19509514	1
cg20308811	8
cg04344119	1
cg18173184	44
cg25683185	2
cg23354319	1
cg03466082	8
cg23893906	1
cg04356180	1
cg00238770	1
cg27102295	1
cg08976060	1
cg26509722	1
cg10617763	7
cg20029003	1
cg23255995	1
cg11708118	2
cg20642765	1
cg19744039	9
cg08102602	1
cg05044173	1
cg16962045	1
cg20093940	3
cg13434714	1
cg16433737	3
cg05603938	1
cg06693138	1
cg24555065	2
cg01870625	1
cg01097940	1
cg16473308	1
cg09182044	33
cg23616620	5
cg17303299	1
cg19594606	2
cg17762331	2
cg10875809	1
cg21855450	1
cg11831988	5
cg11158239	2
cg22548551	1
ch.12.206169F	1
cg14996263	2
cg09901208	1
cg26754448	1
cg16302275	1
cg16267376	1
cg13549444	2
cg03774484	2
cg02772943	1
cg05382730	1
cg15778232	6
cg01941018	1
cg07380405	1
cg22402467	1
cg03198733	2
cg05538432	138
cg15837470	42
cg08799922	1
cg11024687	4
cg12664243	1
cg21439672	3
cg16100690	1
cg22593785	1
cg15882878	2
cg22742344	1
cg02413902	1
cg15569340	1
cg12803617	1
cg26959580	1
cg19104830	1
cg12235168	1
cg03677929	1
cg15028756	1
cg11300147	65
cg00105041	3
cg25828445	1
cg11304383	7
cg18607010	30
cg01860189	1
cg06635871	29
cg17723761	4
cg15873123	30
cg03938369	7
cg23793961	7
cg00925156	25
cg01786216	1
cg01734240	21
cg18781032	37
cg25020919	47
cg07931785	40
cg20313963	3
cg02511315	97
cg17509039	3
cg01993111	4
cg04594618	12
cg23363981	1
cg18923581	3
cg04499514	1
cg25757697	48
cg13443953	1
cg12612122	43
cg12401842	1
cg23276617	1
cg22244214	1
cg14108567	6
cg14955480	2
cg00245465	7
cg07999668	17
cg19543296	96
cg13679724	4
cg05648964	1
cg10021941	244
cg03761649	6
cg03413328	14
cg22038579	1
cg16603596	48
cg02486513	1
cg20413742	1
cg21416544	12
cg15384867	12
cg25449315	33
cg08021945	5
cg14199415	1
cg14207350	1
cg26806779	1
cg24533804	19
cg15688197	1
cg01714932	1
cg26410630	1
cg02734259	6
cg13995453	20
cg09668716	4
cg02150435	1
cg06584503	1
cg13553498	24
cg20894963	1
cg07354583	7
cg05590294	2
cg21375452	20
cg08753403	24
cg17475456	1
cg24820250	8
cg19797739	10
cg26955491	11
cg20040306	23
cg10551645	5
cg18429584	1
cg19540943	1
cg11650987	4
cg26066361	34
cg23892568	2
cg21685770	1
cg08747670	9
cg00059699	1
cg15241779	2
cg13828440	25
cg01940139	1
cg21584184	3
cg22969763	5
cg07118069	2
cg00671224	4
cg21701856	1
cg04953079	1
cg04251307	1
cg16899088	3
cg18636739	15
cg05152903	13
cg03876622	2
cg08507270	2
cg20090497	1
cg07658646	27
cg23256579	3
cg27615582	2
cg13942826	4
cg07342723	1
cg09600247	2
cg15428792	1
cg22403060	1
cg25023291	9
cg20522598	4
cg21747310	4
cg17541810	1
cg12403778	9
cg03954667	10
cg21535657	1
cg11375112	119
cg23738760	2
cg21223094	1
cg20300032	1
cg01934781	2
cg21956815	2
cg06655771	1
cg18142353	1
cg01707656	1
cg08615371	5
cg15110296	3
cg22859679	3
cg09319367	3
cg12412384	1
cg00637826	21
cg22916586	2
cg20701145	1
cg22323125	1
cg27597392	1
cg13544138	1
cg26213780	1
cg19182423	1
cg18803655	1
cg21300072	3
cg06197769	2
cg10774305	1
cg19252671	1
cg13289884	5
cg12751042	2
cg25165382	1
cg24098013	1
cg24075628	1
cg02301528	1
cg05576016	1
cg06776256	1
cg13573474	1
cg11644746	1
cg18784586	1
cg05360158	1
cg18191494	28
cg26632875	4
cg26955132	56
cg13376046	1
cg19091779	3
cg01173358	3
cg10663220	1
cg20618695	2
cg07360028	109
cg10244594	1
cg15611018	2
cg10441909	3
cg14533651	1
cg17462074	2
cg10614021	1
cg21372595	7
cg07913124	7
cg20184271	1
cg05485976	1
cg12526346	2
cg12948116	1
cg21275967	1
cg19789919	3
cg00461174	2
cg19725903	1
cg20219035	1
cg21791768	10
cg08855729	1
cg11310299	1
cg13064062	5
cg23085500	1
cg25698541	2
cg22926252	1
cg19759883	1
cg23894205	5
cg06252333	4
cg00230450	3
cg08905654	1
cg04580999	5
cg00431549	3
cg19826026	2
cg15450139	3
cg08251901	4
cg16173736	3
cg08258403	17
cg08687047	1
cg22374861	7
cg09470640	1
cg23658354	93
cg01574823	67
cg07529428	31
cg13177421	10
cg10231182	34
cg03718416	11
cg05222840	1
cg00379080	1
cg15493051	1
cg06097423	11
cg07111599	1
cg26991024	1
cg01933251	2
cg10257407	1
cg14280171	1
cg20923047	1
cg01345517	1
cg15554941	60
cg06423193	3
cg25496104	4
cg20116513	43
cg26345444	1
cg17097481	1
cg10548102	73
cg27117982	1
cg11203041	4
cg00874480	1
cg04885072	1
ch.12.16553146F	2
cg26028489	3
cg25285743	1
cg19140085	1
cg03826688	2
cg09596234	10
cg21016004	1
cg22702331	2
cg11511443	7
cg05163329	20
cg05355757	27
cg20554753	12
cg04919982	24
cg01741038	1
cg09363891	36
cg18852781	13
cg05770446	8
cg08108029	1
cg16064364	13
cg22151747	1
cg09227665	1
cg13108328	9
cg10675659	1
cg03861106	3
cg19755459	20
cg05620648	1
cg06708888	1
cg22852824	5
cg08179485	26
cg21392898	4
cg21140028	7
cg11802843	12
cg04157308	6
cg24304000	2
cg03098047	1
cg08146442	1
cg20722891	21
cg07243366	1
cg26853374	57
cg21427902	14
cg27099262	3
cg27302255	2
cg23015991	1
cg26571814	10
cg18639524	1
cg13446110	18
cg20994699	14
cg16169129	1
cg00995065	16
cg11704114	14
cg19610177	3
cg12127290	10
cg14622193	24
cg21962791	4
cg23515255	1
cg12696586	1
cg14838474	1
cg02744459	1
cg27536708	3
cg20701850	1
cg02393721	13
cg05149245	11
cg04184278	3
cg20759281	16
cg02659794	1
cg19878987	1
cg13711063	4
cg16739441	1
cg21331461	7
cg19523213	1
cg20025970	33
cg25747468	7
cg27555582	2
cg14074052	2
cg09658429	1
cg13645001	9
cg15016233	92
cg16218424	12
cg10668933	99
cg01802593	1
cg02472348	1
cg24239882	50
cg09354309	1
cg17079833	1
cg11204099	1
cg10456459	1
cg13301582	32
cg13212790	102
cg04575699	1
cg06205574	1
cg06764736	1
cg04626868	3
cg21352006	1
cg25925006	1
cg21862372	4
cg16397701	2
cg16095464	15
cg06219206	7
cg10912292	1
cg18822243	7
cg24011341	59
cg01766743	9
cg20004324	7
cg17352891	15
cg07174843	18
cg20170147	15
cg17023776	3
cg10158080	2
cg17405840	1
cg04351062	1
cg24439121	22
cg10244128	13
cg08637874	26
cg03403168	11
cg11299062	98
cg24882334	1
cg09228327	2
cg06630771	22
cg09800500	1
cg08724310	10
cg22229906	10
cg06915545	25
cg21232844	24
cg21336300	121
cg23842870	64
cg12585028	47
cg09912988	10
cg03259742	8
cg12990174	28
cg27550152	1
cg21075111	1
cg21334449	1
cg02850821	1
cg25451893	1
cg22917286	5
cg19819049	17
cg21049397	13
cg13188915	2
cg11130955	18
cg10412312	1
cg15461781	70
cg22664258	104
cg13018101	2
cg04575155	2
cg04936446	1
cg19754190	1
cg01521154	9
cg07172007	34
cg19873842	31
cg24674577	3
cg09239639	4
cg13515269	65
cg08715914	1
cg13381245	1
cg27574223	1
cg21544415	1
cg11332519	77
cg02058108	3
cg04951947	1
cg16098545	6
cg05823823	4
cg08186005	8
cg19893316	48
cg00997853	2
cg23202253	23
cg01103812	6
cg23425324	1
cg13891121	1
cg09188843	14
cg04786330	40
cg17643699	1
cg23699947	1
cg01982833	2
cg21522254	2
cg24906157	31
cg09694051	16
cg04937596	1
cg17270887	10
cg14664714	1
cg03766264	2
cg23433370	1
cg13639987	1
cg05568384	1
cg00209328	4
cg13014866	1
cg14579651	31
cg24110635	8
cg17367616	2
cg15474407	24
cg23225911	6
cg12143499	3
cg04428616	3
cg08736634	1
cg14128259	116
cg16706260	4
cg10354406	1
cg23785280	48
cg10311048	67
cg09001989	9
cg17315732	2
cg04040991	1
cg21184859	3
cg26856333	2
cg13893584	2
cg00629370	1
cg02460997	2
cg20389635	1
cg23926670	2
cg12144497	1
cg19224639	9
cg15026265	9
cg14049535	1
cg08237545	2
cg02390084	1
cg27198040	132
cg13679842	13
cg21591938	3
cg04559178	1
cg17437373	2
ch.12.29232229R	5
cg12903224	1
cg21017348	4
cg02394098	1
cg09582351	3
cg02376887	54
cg22690558	5
cg18927181	1
cg17959962	18
cg18079925	1
cg25165060	1
cg26479868	17
cg08275602	16
ch.12.29902758F	2
cg24122049	1
cg09151187	1
cg12115302	1
cg13891539	1
cg00782323	7
cg06947106	1
cg21566780	1
cg00400102	2
cg22790013	29
cg17037963	1
cg08949339	2
cg18475775	2
cg13426642	2
cg10367097	5
cg22918434	2
cg27211345	2
cg25426630	7
cg18805734	1
cg16289029	51
cg06846719	2
cg16285215	3
cg03257475	3
cg07290269	1
cg03184588	1
cg09562980	20
cg26073885	1
cg16629664	1
cg08009458	8
cg27546391	2
cg22022442	1
cg05774290	4
cg15783064	1
cg02342494	1
cg22489277	1
cg16014770	1
cg17281556	1
cg22727109	1
cg17110559	5
cg03847768	1
cg10616672	1
cg20956906	9
cg00832457	5
cg17173975	9
cg18849256	1
cg20837456	2
cg24769924	7
cg08219589	2
cg11809958	8
cg17414372	5
cg24786579	2
cg07201835	1
cg10988144	1
cg20180148	1
cg23679432	1
cg25379877	1
cg19508957	1
cg19048301	1
cg19677302	4
cg03522247	1
cg03354810	49
cg10658542	1
cg21043657	23
cg10374493	19
cg01594662	26
cg03846107	61
cg01256563	3
cg01837362	1
cg04838249	5
cg26248646	66
cg26714388	1
cg01819167	1
cg10322007	16
cg13603508	1
cg14968732	1
cg18794854	1
cg00896347	3
cg14860393	6
cg25116882	6
cg15876417	11
cg05770947	12
cg18785532	28
cg02641941	142
cg07287345	2
cg01016637	15
cg23699274	1
cg11684647	1
cg12664938	1
cg09906066	5
cg09579151	28
cg22560190	1
cg11830800	1
cg18795786	24
cg01443755	4
cg17827154	6
cg01777672	136
cg22969014	10
cg07909692	51
cg20210051	4
cg22489491	18
cg15235614	1
cg10802176	18
cg03786709	7
cg09475479	1
cg01182690	1
cg10517121	1
cg22618571	29
cg12741539	1
cg01978144	1
cg02372037	19
cg09561351	3
cg19267760	1
cg23822052	1
cg18169385	4
cg06158065	1
cg06695286	2
cg09889778	1
cg20702830	18
cg02152286	66
cg15057995	73
cg21672401	7
cg23090936	19
cg19619405	2
cg17459298	4
cg08265288	2
cg20424530	1
cg15985629	1
cg18730023	1
cg09686610	2
cg23537560	14
cg07383210	1
cg04889973	1
cg20965660	3
cg10447658	2
cg14852505	1
cg15879620	6
cg12075586	52
cg27627834	39
cg21846305	1
cg04685534	1
cg00032756	1
cg22773093	7
cg22932815	5
cg13055665	1
cg06110728	2
cg14701018	29
cg13186327	7
cg13031210	26
cg26274596	3
cg08351163	36
cg18729001	1
cg24949344	1
cg21185662	1
cg20883194	1
cg01353809	1
cg17576719	1
cg21315021	1
cg04909336	1
cg15085427	1
cg00718452	1
cg17314520	1
cg01311909	6
cg25022342	1
cg05780028	1
cg24782486	1
cg24795297	1
cg17090968	1
cg23031196	41
cg16955499	2
cg23123694	1
cg16788865	21
cg20077773	1
cg09447675	54
cg02352391	2
cg21546022	113
cg23683146	12
cg00140889	6
cg02332491	6
cg23181282	9
cg07601320	1
cg27303674	2
cg05728754	1
cg00719651	9
cg08005660	4
cg12075247	2
cg14889069	6
cg01354296	1
cg26378518	1
cg17241016	1
cg18187200	4
cg10218194	7
cg09853702	1
cg02433406	41
cg19353873	11
cg14031033	1
cg13353550	49
cg20563854	1
cg14854517	6
cg12391174	2
cg16263701	1
cg01088404	1
cg21843272	3
cg10195011	1
cg13865595	1
cg02553284	1
cg11721803	1
cg10502244	1
cg01291404	1
cg06585804	1
cg22156126	1
cg05509087	1
cg11287531	1
cg07282944	1
cg10050807	1
cg10508111	2
cg10200408	1
cg24231002	1
cg09386303	31
cg17225222	1
cg15959252	5
cg05376611	1
cg16266579	1
cg00201175	1
cg07277190	1
cg10370961	1
cg14084056	1
cg14577211	1
cg22363301	1
cg01881778	1
cg23442981	1
cg05170582	3
cg25953788	1
cg05353983	1
cg24623196	1
cg14507346	1
cg12707727	1
cg15866213	1
cg04554987	1
cg22103585	1
cg23327859	1
cg10065182	6
cg11661914	3
cg24092939	19
cg25196508	4
cg25312763	1
cg13740482	2
cg26419941	1
cg14258504	2
cg07822362	1
cg06791473	1
cg16708880	46
cg24928378	8
cg26123920	1
cg26249877	1
cg24121979	10
cg21359335	1
cg26404669	2
cg07876898	8
cg22021756	1
cg19190217	1
cg21908259	1
cg06372151	1
cg05181148	1
cg16268214	2
cg22376688	1
cg22086322	1
cg20513643	15
cg01933416	25
cg12930124	1
cg14445076	1
cg18955066	2
cg11599830	1
cg11220397	1
cg19676328	1
cg14217534	1
cg18239763	1
cg14483935	34
cg19645734	1
cg10481202	2
cg12441358	1
cg18220042	1
cg05692837	1
cg21962603	2
cg22064451	41
cg03916364	1
cg15661753	12
cg15389025	2
cg26550873	25
cg04019438	1
cg00507738	1
cg04797936	1
cg22606869	1
cg16881676	2
cg16374999	1
cg24453580	1
cg09595479	1
cg27419217	1
cg01700003	1
cg24566687	1
cg14502850	2
cg15170634	1
cg20954975	1
cg22785468	2
cg24410256	2
cg15111593	1
cg07968760	39
cg02964356	59
cg02509370	8
cg09313436	1
cg23588509	1
cg10727759	2
cg13689156	1
cg07535477	3
cg00465941	1
cg08512940	1
cg12905592	6
cg15087401	5
cg04056875	4
cg10474546	2
cg22322834	2
cg10638118	1
cg10785311	11
cg02712854	22
cg15622655	83
cg08606453	1
cg25364859	14
cg13576623	1
cg19660618	1
cg09941176	1
cg02895319	1
cg18122310	1
cg09049251	3
cg09002919	2
cg26328335	2
cg25112641	19
cg11079525	1
cg21161070	1
cg17434273	1
cg19339811	2
cg09631044	1
cg26074349	6
cg00996690	1
cg01297357	1
cg17846064	1
